"modell","inverkehrssetzung","fahrzeugart","aussenfarbe","kilometer","getriebeart","antrieb","treibstoff","tueren","sitze","innenfarbe","hubrauminccm","zylinder","leistunginps","leergewicht","verbrauch","co2.emission","energieeffizienz","abmfk","garantie","preis"
"VW Golf 1800 S.Line syncro(Kombi)","08-1996","Occasion","rot","370'000 km","Handschaltung","Allrad","Benzin",5,5,"grau",1780,4,90,"1350 kg","9.2 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'150.- "
"VW Golf 1800 S.Line syncro(Kombi)","12-1996","Occasion","silber","223'000 km","Handschaltung","Allrad","Benzin",5,5,NA,1780,4,90,"1350 kg","9.2 l/100km",NA,NA,TRUE,"0 Monate","CHF 5'800.- "
"VW Golf 1800 S.Line syncro(Kombi)","05-1996","Occasion","weiss","106'000 km","Handschaltung","Allrad","Benzin",5,5,NA,1780,4,90,"1350 kg","9.2 l/100km",NA,NA,TRUE,"0 Monate","CHF 6'700.- "
"VW Golf 1800 Sw. Topline ABS(Kombi)","12-1997","Occasion","gruen","231'543 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'500.- "
"VW Golf 1800 Sw. Topline ABS(Kombi)","01-1998","Occasion","blau","198'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'450.- "
"VW Golf 1800 Sw. Topline ABS(Kombi)","02-1999","Occasion","weiss","180'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'000.- "
"VW Golf 1800 Swiss Line(Kombi)","02-1996","Occasion","violett","182'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'900.- "
"VW Golf 1800 Swiss Line(Kombi)","05-1996","Occasion","rot","155'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"1 Monate","CHF 3'400.- "
"VW Golf 1800 Swiss Line(Kombi)","04-1996","Occasion","gruen","174'700 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'500.- "
"VW Golf 1800 Swiss Line(Kombi)","12-1996","Occasion","weiss","230'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 3'900.- "
"VW Golf 1800 Swiss Line(Kombi)","01-1996","Occasion","blau","154'100 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'890.- "
"VW Golf 1800 Swiss Line(Kombi)","06-1996","Occasion","blau","174'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1780,4,75,"1190 kg","7.9 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'700.- "
"VW Golf 1800 Swiss Line(Kombi)","06-1996","Occasion","silber","136'500 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","9.5 l/100km",NA,NA,FALSE,"0 Monate","CHF 950.- "
"VW Golf 1800 Swiss Line(Kombi)","06-1996","Occasion","weiss","202'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"1 Monate","CHF 2'900.- "
"VW Golf 1800 Swiss Line(Kombi)","03-1996","Occasion","bordeaux","210'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'200.- "
"VW Golf 1800 Swiss Line(Kombi)","03-1996","Occasion","blau","235'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 1'999.- "
"VW Golf 1800 Swiss Line(Kombi)","11-1996","Occasion","weiss","189'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,75,"1190 kg","7.9 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'200.- "
"VW Golf 1800 Swiss Line(Kombi)","07-1996","Occasion","weiss","257'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'600.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","10-1997","Occasion","weiss","163'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 3'000.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","03-1999","Occasion","silber","136'000 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1780,4,90,"1190 kg","9.5 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'900.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","05-1997","Occasion","gruen","161'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'400.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","05-1997","Occasion","anthrazit","149'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,75,"1190 kg","7.9 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'500.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","09-1998","Occasion","weiss","193'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,75,"1190 kg","7.9 l/100km",NA,NA,TRUE,"3 Monate","CHF 2'800.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","09-1997","Occasion","weiss","137'750 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'990.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","05-1997","Occasion","gruen","178'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,75,"1190 kg","7.9 l/100km",NA,NA,TRUE,"0 Monate","CHF 2'900.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","04-1999","Occasion","blau","195'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 2'950.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","06-1998","Occasion","blau","126'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'990.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","02-1998","Occasion","grau","212'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"3 Monate","CHF 2'900.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","12-1997","Occasion","rot","103'900 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"3 Monate","CHF 5'500.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","08-1997","Occasion","gruen","187'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"3 Monate","CHF 2'900.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","02-1998","Occasion","blau","213'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"3 Monate","CHF 4'800.- "
"VW Golf 1800 Swiss Line ABS(Kombi)","07-1998","Occasion","gruen","114'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1780,4,75,"1190 kg","7.9 l/100km",NA,NA,FALSE,"0 Monate","CHF 5'400.- "
"VW Golf 1800 Swiss Topline(Kombi)","06-1996","Occasion","gruen","256'315 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 2'900.- "
"VW Golf 1800 Swiss Topline(Kombi)","08-1996","Occasion","gruen","106'600 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 3'800.- "
"VW Golf 1800 Swiss Topline(Kombi)","08-1996","Occasion","schwarz","218'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1780,4,90,"1190 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'500.- "
"VW Golf 1900 TD CL(Kombi)","04-1994","Occasion","blau","500'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,NA,1895,4,75,"1170 kg",NA,NA,NA,FALSE,"0 Monate","CHF 1'800.- "
"VW Golf 1900 TDI GT(Kombi)","05-1994","Occasion","rot","234'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"grau",1895,4,90,"1210 kg","5.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'900.- "
"VW Golf 1900 TDI S.L.syn.ABS(Kombi)","10-1998","Occasion","weiss","128'700 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,90,"1425 kg","5.8 l/100km",NA,NA,FALSE,"0 Monate","CHF 4'900.- "
"VW Golf 1900 TDI S.L.syn.ABS(Kombi)","06-1997","Occasion","silber","193'000 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,90,"1425 kg","5.8 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'700.- "
"VW Golf 1900 TDI S.L.syn.ABS(Kombi)","10-1997","Occasion","silber","187'000 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,90,"1425 kg","5.8 l/100km",NA,NA,TRUE,"1 Monate","CHF 3'900.- "
"VW Golf 1900 TDI S.L. syncro(Kombi)","06-1996","Occasion","silber","230'000 km","Handschaltung","Allrad","Diesel",5,5,NA,1896,4,90,"1425 kg","5.8 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'900.- "
"VW Golf 1900 TDI Sw.Line ABS(Kombi)","04-1999","Occasion","rot","239'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,90,"1270 kg","5.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'800.- "
"VW Golf 1900 TDI Sw.Line ABS(Kombi)","07-1999","Occasion","silber","235'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"blau",1896,4,90,"1270 kg","5.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'200.- "
"VW Golf 2.0(Kombi)","04-2002","Occasion","weiss","142'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1449 kg","9.1 l/100km",NA,"G",TRUE,"3 Monate","CHF 9'900.- "
"VW Golf 2.0(Kombi)","12-2002","Occasion","grau","121'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1449 kg","8 l/100km","194 g/km","E",TRUE,"0 Monate","CHF 7'900.- "
"VW Golf 2.0(Kombi)","08-2000","Occasion","blau","106'250 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1449 kg","9.1 l/100km",NA,"G",TRUE,"0 Monate","CHF 6'980.- "
"VW Golf 2.0(Kombi)","01-2000","Occasion","weiss","189'158 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1449 kg","8 l/100km","194 g/km","E",TRUE,"0 Monate","CHF 6'997.- "
"VW Golf 2.0(Kombi)","05-2000","Occasion","blau","78'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"blau",1984,4,115,"1449 kg","8 l/100km","194 g/km","E",TRUE,"3 Monate","CHF 9'700.- "
"VW Golf 2.0 4Motion(Kombi)","11-2001","Occasion","schwarz","190'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",1984,4,115,"1547 kg","8.8 l/100km","214 g/km","F",FALSE,"0 Monate","CHF 9'200.- "
"VW Golf 2.0 4Motion(Kombi)","08-2001","Occasion","blau","165'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",1984,4,115,"1547 kg","8.8 l/100km","214 g/km","F",TRUE,"0 Monate","CHF 7'900.- "
"VW Golf 2.0 4Motion(Kombi)","12-2002","Occasion","blau","131'600 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",1984,4,115,"1547 kg","8.8 l/100km","214 g/km","F",TRUE,"3 Monate","CHF 10'900.- "
"VW Golf 2.0 4Motion(Kombi)","02-2001","Occasion","silber","232'000 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",1984,4,115,"1547 kg","8.8 l/100km","214 g/km","F",TRUE,"0 Monate","CHF 4'900.- "
"VW Golf 2.0 4Motion(Kombi)","12-2002","Occasion","grau","119'500 km","Handschaltung","Allrad","Benzin",5,5,NA,1984,4,115,"1547 kg","8.9 l/100km","214 g/km","F",FALSE,"0 Monate","CHF 14'900.- "
"VW Golf 2.0 Comf. Generation(Kombi)","02-2001","Occasion","silber","169'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1449 kg","8.1 l/100km","194 g/km","E",TRUE,"0 Monate","CHF 6'900.- "
"VW Golf 2.0 Comf. Generation(Kombi)","12-2001","Occasion","silber","141'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1449 kg","8.1 l/100km","194 g/km","E",TRUE,"12 Monate","CHF 7'900.- "
"VW Golf 2.0 Comf. Generation(Kombi)","12-2002","Occasion","silber","66'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1449 kg","8.1 l/100km","194 g/km","E",FALSE,"3 Monate","CHF 12'800.- "
"VW Golf 2.0 Comf. Generation(Kombi)","10-2001","Occasion","silber","46'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1984,4,115,"1449 kg","8.1 l/100km","194 g/km","E",FALSE,"12 Monate","CHF 9'950.- "
"VW Golf 2.0 Comfort 4Motion(Kombi)","06-2004","Occasion","blau","96'000 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",TRUE,"0 Monate","CHF 17'900.- "
"VW Golf 2.0 Comfort 4Motion(Kombi)","08-2001","Occasion","grau","138'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",FALSE,"0 Monate","CHF 5'800.- "
"VW Golf 2.0 Comfort 4Motion(Kombi)","09-2001","Occasion","grau","235'000 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",FALSE,"0 Monate","CHF 2'950.- "
"VW Golf 2.0 Comfort 4Motion(Kombi)","01-2002","Occasion","silber","103'477 km","Handschaltung","Allrad","Benzin",5,5,NA,1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",TRUE,"3 Monate","CHF 14'800.- "
"VW Golf 2.0 Comfort 4Motion(Kombi)","12-2000","Occasion","silber","158'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",1984,4,115,"1547 kg","8.9 l/100km","214 g/km","F",FALSE,"0 Monate","CHF 8'800.- "
"VW Golf 2.0 Comfort 4Motion(Kombi)","10-2001","Occasion","grau","73'500 km","Handschaltung","Allrad","Benzin",5,5,NA,1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",TRUE,"3 Monate","CHF 10'700.- "
"VW Golf 2.0 Comfortline(Kombi)","11-1999","Occasion","silber","133'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","9.1 l/100km","218 g/km","G",TRUE,"2 Monate","CHF 5'900.- "
"VW Golf 2.0 Comfortline(Kombi)","11-2000","Occasion","grau","119'500 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","9.1 l/100km","218 g/km","G",FALSE,"0 Monate","CHF 7'500.- "
"VW Golf 2.0 Comfortline(Kombi)","12-2000","Occasion","silber","143'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","9.1 l/100km","218 g/km","G",FALSE,"0 Monate","CHF 5'990.- "
"VW Golf 2.0 Comfortline(Kombi)","12-2005","Occasion","blau","110'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1437 kg","9.1 l/100km","218 g/km","G",FALSE,"0 Monate","CHF 13'900.- "
"VW Golf 2.0 Comfortline(Kombi)","05-2000","Occasion","silber","176'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 6'100.- "
"VW Golf 2.0 Comfortline(Kombi)","10-1999","Occasion","gold","155'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 4'900.- "
"VW Golf 2.0 Comfortline(Kombi)","10-1999","Occasion","schwarz","189'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 5'800.- "
"VW Golf 2.0 Comfortline(Kombi)","12-2000","Occasion","blau","170'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 4'900.- "
"VW Golf 2.0 Comfortline(Kombi)","01-2001","Occasion","silber","115'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1437 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 6'990.- "
"VW Golf 2.0 Comfortline(Kombi)","01-2002","Occasion","silber","125'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"3 Monate","CHF 10'250.- "
"VW Golf 2.0 Comfortline(Kombi)","09-1999","Occasion","schwarz","206'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"1 Monate","CHF 5'000.- "
"VW Golf 2.0 Kombi(Kombi)","02-2000","Occasion","bordeaux","58'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,NA,NA,NA,NA,TRUE,"3 Monate","CHF 9'800.- "
"VW Golf 2.0 Ocean(Kombi)","10-2004","Occasion","silber","160'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1449 kg","9.1 l/100km","223 g/km","G",TRUE,"0 Monate","CHF 8'900.- "
"VW Golf 2.0 Ocean 4Motion(Kombi)","05-2005","Occasion","silber","50'500 km","Handschaltung","Allrad","Benzin",5,5,NA,1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",FALSE,"0 Monate","CHF 15'800.- "
"VW Golf 2.0 Ocean 4Motion(Kombi)","05-2005","Occasion","silber","50'500 km","Handschaltung","Allrad","Benzin",5,5,NA,1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",FALSE,"0 Monate","CHF 15'800.- "
"VW Golf 2.0 Ocean 4Motion(Kombi)","05-2005","Occasion","silber","50'500 km","Handschaltung","Allrad","Benzin",5,5,NA,1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",FALSE,"0 Monate","CHF 15'800.- "
"VW Golf 2.0 Pacific(Kombi)","07-2003","Occasion","blau","127'050 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1449 kg","8 l/100km","194 g/km","E",FALSE,"0 Monate","CHF 11'900.- "
"VW Golf 2.0 Pacific 4Motion(Kombi)","03-2004","Occasion","silber","117'600 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",1984,4,115,"1547 kg","8.8 l/100km","211 g/km","F",FALSE,"12 Monate","CHF 15'900.- "
"VW Golf 2.0 TDI Comfort(Kombi)","02-2008","Occasion","gruen","75'000 km","Automat","Vorderradantrieb","Diesel",5,5,"beige",1968,4,140,"1498 kg","6.1 l/100km","160 g/km","C",FALSE,"12 Monate","CHF 21'900.- "
"VW Golf 2.0 TDI Comfort(Kombi)","08-2009","Occasion","schwarz","17'000 km","Automat","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1505 kg","5.8 l/100km","154 g/km","B",FALSE,"0 Monate","CHF 27'800.- "
"VW Golf 2.0 TDI Comfort(Kombi)","05-2008","Occasion","silber","78'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1465 kg","5.6 l/100km","148 g/km","B",TRUE,"12 Monate","CHF 22'990.- "
"VW Golf 2.0 TDI Comfort(Kombi)","01-2008","Occasion","schwarz","65'700 km","Handschaltung","Vorderradantrieb","Diesel",5,5,NA,1968,4,140,"1465 kg","5.6 l/100km","148 g/km","B",FALSE,"24 Monate","CHF 21'900.- "
"VW Golf 2.0 TDI Sport(Kombi)","01-2008","Occasion","silber","99'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1465 kg","5.6 l/100km","148 g/km","B",TRUE,"6 Monate","CHF 22'500.- "
"VW Golf 2.0 TDI Sport(Kombi)","03-2008","Occasion","schwarz","107'000 km","Automat","Vorderradantrieb","Diesel",5,5,"schwarz",1968,4,140,"1498 kg","6.1 l/100km","160 g/km","C",TRUE,"12 Monate","CHF 22'800.- "
"VW Golf 2.0 TDI Sport(Kombi)","10-2007","Occasion","grau","72'600 km","Automat","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1498 kg","6.1 l/100km","160 g/km","C",FALSE,"0 Monate","CHF 22'700.- "
"VW Golf 2.0 TDI Sport(Kombi)","10-2007","Occasion","silber","108'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1465 kg","5.6 l/100km","148 g/km","B",FALSE,"12 Monate","CHF 18'900.- "
"VW Golf 2.0 TDI Sport(Kombi)","05-2008","Occasion","grau","80'000 km","Automat","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1498 kg","6.1 l/100km","160 g/km","C",FALSE,"12 Monate","CHF 20'900.- "
"VW Golf 2.0 TDI Sport(Kombi)","10-2007","Occasion","schwarz","82'500 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"anthrazit",1968,4,140,"1465 kg","5.6 l/100km","148 g/km","B",FALSE,"0 Monate","CHF 18'000.- "
"VW Golf 2.0 Trendline(Kombi)","01-2000","Occasion","blau","180'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1375 kg","8.1 l/100km","194 g/km",NA,TRUE,"3 Monate","CHF 7'980.- "
"VW Golf 2.0 Variant(Kombi)","03-2000","Occasion","blau","85'400 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",NA,4,NA,"1286 kg",NA,NA,NA,TRUE,"0 Monate","CHF 8'500.- "
"VW Golf 2.3 Highline(Kombi)","03-2001","Occasion","weiss","140'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,2324,5,170,"1507 kg","9.9 l/100km","238 g/km","G",TRUE,"0 Monate","CHF 5'900.- "
"VW Golf 2.3 Highline(Kombi)","10-1999","Occasion","silber","52'900 km","Automat","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1399 kg","10.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 10'800.- "
"VW Golf 2.3 Highline 4Motion(Kombi)","10-2001","Occasion","gruen","122'000 km","Handschaltung","Allrad","Benzin",5,5,"beige",2324,5,170,"1606 kg","10 l/100km","240 g/km","G",TRUE,"3 Monate","CHF 11'600.- "
"VW Golf 2.3 Highline 4Motion(Kombi)","07-2000","Occasion","blau","187'000 km","Handschaltung","Allrad","Benzin",5,5,NA,2324,5,150,"1520 kg","10.5 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'900.- "
"VW Golf 2.3 Highline 4Motion(Kombi)","03-2001","Occasion","rot","137'000 km","Handschaltung","Allrad","Benzin",5,5,NA,2324,5,170,"1606 kg","10 l/100km","240 g/km","G",TRUE,"3 Monate","CHF 8'200.- "
"VW Golf 2.3 Highline 4Motion(Kombi)","08-2001","Occasion","gruen","101'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",2324,5,170,"1606 kg","10 l/100km","240 g/km","G",TRUE,"0 Monate","CHF 12'900.- "
"VW Golf 2.3 Highline 4Motion(Kombi)","05-2001","Occasion","silber","126'740 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",2324,5,170,"1606 kg","10 l/100km","240 g/km","G",TRUE,"3 Monate","CHF 11'800.- "
"VW Golf 2.3 Highline 4Motion(Kombi)","04-2001","Occasion","silber","43'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",2324,5,170,"1606 kg","10 l/100km","240 g/km","G",TRUE,"12 Monate","CHF 14'900.- "
"VW Golf 2.8 Highline 4Motion(Kombi)","10-2002","Occasion","grau","80'300 km","Handschaltung","Allrad","Benzin",5,5,NA,2792,6,204,"1623 kg","11.1 l/100km","266 g/km","G",FALSE,"0 Monate","CHF 13'900.- "
"VW Golf 2.8 Highline 4Motion(Kombi)","11-2000","Occasion","silber","167'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",2792,6,204,"1623 kg","10.9 l/100km","266 g/km","G",FALSE,"0 Monate","CHF 7'900.- "
"VW Golf 2000 GL(Kombi)","10-1994","Occasion","blau","122'000 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1220 kg","8.1 l/100km",NA,NA,TRUE,"3 Monate","CHF 3'800.- "
"VW Golf 2000 GL(Kombi)","04-1995","Occasion","silber","201'756 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1220 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'600.- "
"VW Golf 2000 GL(Kombi)","03-1994","Occasion","schwarz","202'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1220 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'100.- "
"VW Golf 2000 GL(Kombi)","03-1994","Occasion","rot","201'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1220 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'501.- "
"VW Golf 2000GL(Kombi)","02-1994","Occasion","schwarz","116'800 km","Automat","Vorderradantrieb",NA,5,5,"grau",1998,4,NA,NA,NA,NA,NA,TRUE,"0 Monate","CHF 2'900.- "
"VW Golf 2000 GL(Kombi)","10-1995","Occasion","weiss","154'000 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1220 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'600.- "
"VW Golf 2000 GT(Kombi)","06-1995","Occasion","blau","257'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1220 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'400.- "
"VW Golf 2000 GT(Kombi)","08-1994","Occasion","blau","158'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1220 kg","8.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'500.- "
